size,data_random comparisons,data_random time (ms),data_descending comparisons,data_descending time (ms),data_almost_sorted comparisons,data_almost_sorted time (ms),100,268,0.02285,498,0.024,529,0.0232,
200,643,0.04885,1127,0.0506,1126,0.0481,
300,1023,0.0795,1762,0.0794,1786,0.0818,
400,1477,0.1012,2492,0.10575,2465,0.1074,
500,1926,0.129,3173,0.1501,3189,0.18285,
600,2356,0.2216,3899,0.22705,3844,0.19965,
700,2857,0.19375,4611,0.18965,4607,0.1863,
800,3370,0.21775,5350,0.2255,5328,0.2181,
900,3977,0.24685,6217,0.2446,6246,0.2476,
1000,4353,0.2834,6974,0.3015,6816,0.2794,
1100,4826,0.31915,7575,0.32215,7577,0.32305,
1200,5314,0.33895,8344,0.33955,8234,0.33835,
1300,5874,0.38095,9137,0.37635,9022,0.3975,
1400,6426,0.40865,9985,0.40215,9839,0.3983,
1500,6951,0.42915,10793,0.44265,10570,0.43075,
1600,7543,0.4669,11594,0.46565,11450,0.4741,
1700,8170,0.5155,12559,0.49415,12316,0.50015,
1800,8852,0.52045,13431,0.52145,13321,0.515,
1900,9263,0.5446,14087,0.54875,13860,0.55535,
2000,9726,0.5849,14852,0.58055,14571,0.57935,
2100,10219,0.61035,15538,0.60825,15274,0.609,
2200,10764,0.62685,16342,0.6386,16115,0.6377,
2300,11295,0.6764,17138,0.67935,16969,0.6877,
2400,11855,0.7096,17950,0.69235,17782,0.6947,
2500,12438,0.7132,18820,0.72645,18558,0.714,
2600,13077,0.74635,19752,0.75625,19349,0.75595,
2700,13748,0.7801,20608,0.8079,20442,0.78465,
2800,14244,0.8141,21371,0.80725,21103,0.81645,
2900,14817,0.849,22183,0.8458,21916,0.8383,
3000,15415,0.8825,23097,0.8853,22715,0.8712,
