size,data_random comparisons,data_random time (ms),data_descending comparisons,data_descending time (ms),data_almost_sorted comparisons,data_almost_sorted time (ms),
100,15,0.0096,32,0.0109,35,0.0096,
200,15,0.02205,32,0.023,35,0.0188,
300,15,0.0356,32,0.0352,35,0.0333,
400,15,0.035,32,0.034,35,0.03525,
500,15,0.0494,32,0.0466,35,0.04515,
600,15,0.06125,32,0.0619,35,0.06025,
700,15,0.08725,32,0.09885,35,0.0803,
800,15,0.1111,32,0.111,35,0.1135,
900,15,0.07805,32,0.0767,35,0.07605,
1000,15,0.1439,32,0.11005,35,0.1065,
1100,15,0.17155,32,0.14025,35,0.1231,
1200,15,0.1291,32,0.1157,35,0.1135,
1300,15,0.1352,32,0.135,35,0.19455,
1400,15,0.1581,32,0.13185,35,0.13165,
1500,15,0.15945,32,0.1696,35,0.16205,
1600,15,0.24435,32,0.2079,35,0.251,
1700,15,0.23835,32,0.1724,35,0.1911,
1800,15,0.2328,32,0.23665,35,0.22675,
1900,15,0.20995,32,0.18465,35,0.21345,
2000,15,0.1988,32,0.18035,35,0.18235,
2100,15,0.26605,32,0.27455,35,0.2717,
2200,15,0.21625,32,0.1964,35,0.2013,
2300,15,0.2457,32,0.26785,35,0.2316,
2400,15,0.2438,32,0.2283,35,0.21365,
2500,15,0.28755,32,0.2859,35,0.253,
2600,15,0.30475,32,0.294,35,0.2846,
2700,15,0.31905,32,0.36485,35,0.2998,
2800,15,0.37195,32,0.47945,35,0.35435,
2900,15,0.36405,32,0.34195,35,0.33715,
3000,15,0.36385,32,0.35715,35,0.3478,
