size,data_random comparisons,data_random time (ms),data_descending comparisons,data_descending time (ms),data_almost_sorted comparisons,data_almost_sorted time (ms),
100,13717,0.13115,8773,0.1491,10645,0.14945,
200,22045,0.2602,17554,0.2866,17938,0.28035,
300,28171,0.37415,27817,0.43485,26719,0.41045,
400,31363,0.4783,36964,0.55775,34003,0.51955,
500,35671,0.595,43504,0.68015,42034,0.67705,
600,38500,0.71385,53392,0.8557,48580,0.79995,
700,42076,0.81485,62929,0.97635,55864,0.92715,
800,47512,0.9459,71710,1.1272,65377,1.0565,
900,51832,1.05485,80488,1.2507,73783,1.1896,
1000,56158,1.19185,90382,1.41275,81448,1.3585,
1100,61222,1.30305,99535,1.51935,88387,1.4412,
1200,65920,1.44765,107197,1.67105,96781,1.6038,
1300,75082,1.5903,113737,1.799,104812,1.7302,
1400,82756,1.7108,122515,1.93175,111733,1.869,
1500,89314,1.85425,130180,2.04115,120880,1.9853,
1600,97372,1.98635,139717,2.2089,128908,2.1096,
1700,106540,2.1003,147760,2.5474,136951,2.31965,
1800,112363,2.2552,156541,2.45805,143878,2.35675,
1900,123382,2.4107,163090,2.58565,152281,2.4971,
2000,132922,2.53705,170752,2.7053,160318,2.6449,
2100,143959,2.69875,179158,2.82645,169099,2.72765,
2200,154618,2.8525,187945,2.95785,178639,2.8845,
2300,169741,2.9818,197110,3.09745,187435,3.00385,
2400,181897,3.21455,207016,3.3386,197323,3.1732,
2500,192568,3.3762,214672,3.56615,205720,3.27625,
2600,203236,3.5072,223849,3.574,213016,3.4616,
2700,214636,3.71545,231880,3.7175,222178,3.53615,
2800,225310,3.8014,241030,3.8478,229102,3.6511,
2900,233755,3.9156,248689,3.9861,238627,3.77775,
3000,247765,4.25775,257848,4.13685,245563,3.9025,
