size,data_random comparisons,data_random time (ms),data_descending comparisons,data_descending time (ms),data_almost_sorted comparisons,data_almost_sorted time (ms),100,7603.8,0.5891,7604.15,0.5141,7196.35,0.5027,
200,523,0.1806,523,0.14235,523,0.1415,
300,723,0.24085,723,0.1998,723,0.1934,
400,923,0.30585,923,0.26125,923,0.2612,
500,1123,0.3704,1123,0.32325,1123,0.321,
600,1323,0.44265,1323,0.3933,1323,0.38805,
700,1523,0.50615,1523,0.45925,1523,0.45985,
800,1723,0.56985,1723,0.52095,1723,0.52165,
900,1923,0.6305,1923,0.57215,1923,0.5768,
1000,2123,0.6905,2123,0.63085,2123,0.6296,
1100,2323,0.7419,2323,0.69745,2323,0.68955,
1200,2523,0.81155,2523,0.75175,2523,0.75125,
1300,2723,0.87045,2723,0.80085,2723,0.8094,
1400,2923,0.9329,2923,0.89405,2923,1.00085,
1500,3123,1.01855,3123,0.95095,3123,0.93375,
1600,3323,1.0765,3323,1.0085,3323,1.002,
1700,3523,1.11635,3523,1.06585,3523,1.0734,
1800,3723,1.15495,3723,1.119,3723,1.1303,
1900,3923,1.2235,3923,1.16605,3923,1.1766,
2000,4123,1.2803,4123,1.19935,4123,1.2352,
2100,4323,1.3287,4323,1.3063,4323,1.29305,
2200,4523,1.38775,4523,1.3333,4523,1.35605,
2300,4723,1.4827,4723,1.39325,4723,1.42245,
2400,4923,1.53805,4923,1.49695,4923,1.45,
2500,5123,1.56065,5123,1.52435,5123,1.52,
2600,5323,1.6583,5323,1.59585,5323,1.62685,
2700,5523,1.6794,5523,1.64975,5523,1.67115,
2800,5723,1.7387,5723,1.7524,5723,1.7124,
2900,5923,1.792,5923,1.7671,5923,1.7837,
3000,6123,1.8411,6123,1.8343,6123,1.8182,
