size,data_random comparisons,data_random time (ms),data_descending comparisons,data_descending time (ms),data_almost_sorted comparisons,data_almost_sorted time (ms),
100,358,0.18565,332,0.18015,341,0.17785,
200,844,0.40245,738,0.3893,756,0.3949,
300,1631,0.62795,1371,0.62575,1366,0.61745,
400,1924,0.8575,1610,0.8395,1660,0.83625,
500,3446,1.1822,2810,1.16735,2807,1.15255,
600,3730,1.3927,3007,1.3526,3025,1.34715,
700,3831,1.5455,3115,1.52355,3103,1.517,
800,4388,1.86305,3529,1.8115,3601,1.8134,
900,6033,2.22455,4773,2.18675,4898,2.1618,
1000,7811,2.56445,6112,2.4706,6167,2.49715,
1100,8309,2.77125,6460,2.73505,6543,2.6758,
1200,8380,2.9563,6582,2.89475,6608,2.8655,
1300,8472,3.13025,6660,3.0524,6716,3.06555,
1400,8590,3.3186,6713,3.2592,6758,3.24155,
1500,8655,3.5163,6813,3.4489,6830,3.44585,
1600,9853,4.0187,7653,3.86075,7870,3.85825,
1700,11769,4.32105,8984,4.21745,9267,4.21725,
1800,13574,4.74085,10372,4.56625,10692,4.59365,
1900,15516,5.1096,11734,4.94185,12076,4.96845,
2000,17493,5.4416,13234,5.23545,13510,5.207,
2100,18317,5.70855,13863,5.52305,14081,5.56735,
2200,18492,5.92085,14000,5.662,14234,5.7,
2300,18630,6.0909,14074,5.88655,14420,5.89365,
2400,18696,6.29575,14175,6.09015,14380,6.06565,
2500,18797,6.4573,14220,6.232,14449,6.26635,
2600,18943,6.66965,14339,6.4587,14598,6.478,
2700,18970,6.83375,14308,6.72515,14826,6.60465,
2800,19041,7.0037,14474,6.82915,14721,6.8365,
2900,19261,7.29045,14547,7.0795,14843,7.1172,
3000,19291,7.401,14673,7.1784,14835,7.19165,
